Linux 6.8.0-60-generic (berk) 	03-06-2025 	_x86_64_	(12 CPU)

20:50:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:50:46     all    1,76    0,25    0,34    0,17    0,00    0,00    0,00    0,00    0,00   97,49
20:50:46       0    8,91    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00   88,12
20:50:46       1    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:46       2   11,22    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   87,76
20:50:46       3    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:46       4    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:50:46       5    1,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:50:46       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:46       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:46       8    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:50:46       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:46      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:46      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:50:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:50:47     all    0,08    0,00    0,42    0,00    0,00    0,00    0,00    0,00    0,00   99,50
20:50:47       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       1    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:50:47       2    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:50:47       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:47       8    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:50:47       9    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:47      10    0,98    0,00    0,98    0,00    0,00    0,00    0,00    0,00    0,00   98,04
20:50:47      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:50:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:50:48     all    0,08    0,00    0,08    0,08    0,00    0,00    0,00    0,00    0,00   99,75
20:50:48       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       3    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:48       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48       8    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:48       9    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
20:50:48      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:50:48      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    0,64    0,08    0,28    0,08    0,00    0,00    0,00    0,00    0,00   98,91
Average:       0    3,01    0,33    0,00    0,67    0,00    0,00    0,00    0,00    0,00   95,99
Average:       1    0,00    0,33    0,33    0,00    0,00    0,00    0,00    0,00    0,00   99,33
Average:       2    3,69    0,00    0,67    0,00    0,00    0,00    0,00    0,00    0,00   95,64
Average:       3    0,33    0,00    0,33    0,00    0,00    0,00    0,00    0,00    0,00   99,33
Average:       4    0,00    0,00    0,34    0,00    0,00    0,00    0,00    0,00    0,00   99,66
Average:       5    0,33    0,33    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,33
Average:       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:       8    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:       9    0,00    0,00    0,34    0,34    0,00    0,00    0,00    0,00    0,00   99,33
Average:      10    0,33    0,00    0,33    0,00    0,00    0,00    0,00    0,00    0,00   99,34
Average:      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
